"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1448632316.30018","1616875214.10394","1751000102.29998","1923475578.65425","2125718763.71264","2225571920.09475","2293196657.68954","2497125566.3876","2575533536.96949","2645065668.01098","2910162905.14092","2885630116.92683","2835314388.33759","2945022066.58519","3263578415.3753","3406102717.53573","3546046017.08981","3706854374.33234","3775529768.09371","3404108443.64886","3316870714.44956","3502845774.57458","3443753581.12106","3596190779.28098","3623628041.20902","3536556280.86947","3496393461.63603","3578912447.79754","","",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19821201271.5583","21972474898.7903","22883102403.4592","26245649891.7187","28488533287.8481","33298540638.3865","35278625596.519","43151385721.8009","49924017473.1009","51184181904.429","59667003515.1962","65039839448.5561","69058343420.1602","71831696727.8086","75330255840.1204","79945392645.9093","82736859539.8292","",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38709462812.8128","40415249610.3974","38922948275.7095","30288915272.4686","31350039762.1322","36808506787.3251","42559247843.5015","46442398478.5587","49168319589.6905","50966301567.4238","53697271709.1241","57183126400.9445","66025701083.9382","69262590990.6428","78917760272.9324","93605933583.7766","107575069388.987","125940979377.526","142726980220.583","145050017392.804","153870642704.463","162538809184.169","186427366833.489","200137626745.836","220359353844.341","204638826071.457","204936832035.268","217987314775.764","218533343589.654","",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8376972469.51444","6235202599.0946","5918953733.68903","6638413286.61162","7343116902.20966","8495876949.04919","9438719984.67115","8553000294.13494","9451320215.17827","10792640710.3713","11930667492.6964","13163005072.4319","14221917695.6072","15181699765.898","16414448036.8984","17663341885.8328","19627129386.2054","21609237258.2863","24251549242.5472","25825121070.623","28067511188.2196","29655397997.1241","30530326607.567","30604074981.6618","32529196145.5012","33594865824.0885","34736467843.0159","37624046895.7302","39657883612.092","",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1618508672167.88","1692454970859.04","1817896366846.33","1913981773813.99","2011304274221.18","2107568364278.98","2243682557640.39","2376796760799.29","2536727545349.09","2624333365461.93","2827833121616.36","2937478458708.53","2998835855209.37","3201827114273.56","3587836918631.58","3908130396923.69","4274058183695.92","4585100361672.79","4948891323617.69","5021926779747.26","5325397183797.74","5617315710004.8","6078722400162.86","6187524809780.44","6264059184700.53","5706936653696.8","5572960734969.38","5958059225103.6","6249507410405.31","",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159487795645.507","166299397371.945","175778598505.842","182212714609.987","198937630078.518","216692716930.996","233455210609.434","256931523107.946","260582009366.879","272016137708.761","308278032480.648","319447556783.442","332397038610.06","368365956294.214","414471367012.205","448131906354.041","507111540744.244","537316172269.654","565251527233.398","539699098303.409","554739094155.566","605575063616.23","627251285469.475","641897023465.939","677478731934.989","595849582364.997","592578959710.723","624319087625.314","650567665712.549","",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234713747908.284","264812795177.095","292345602710.861","323833287156.027","350051492106.655","347222944474.802","373122012482.585","410342067531.587","430937274734.589","422359326216.666","428394155079.758","418489172650.759","378795278972.859","419925810757.107","470169433010.401","527729109471.343","587451576478.711","657569211301.791","697557858464.464","661275816698.303","736718360694.809","797263881242.037","821942516920.344","849784624652.742","837731946023.215","863497112167.439","878477035249.2","1037824306663.36","1036721129771.77","",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9823681582.55379","8967654990.12842","5338115173.56176","4983706221.95371","5364994236.9013","5855435775.62519","6312383964.68754","6634488453.60569","7198929727.32122","7543862768.97195","8167541620.26002","9144353840.75574","10513870755.7402","12212769406.2514","13854394052.8448","16266799077.3156","18970927789.2735","22158958573.6539","24148688098.6626","20889699218.5052","21598045116.1854","23085520248.3701","28078394200.4855","31734196647.6101","29231465382.2079","35103843479.5056","37749154576.4052","35676528915.4363","38445962298.0647","",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","725017797.078603","765852579.867499","792378893.688898","853982006.114636","930448715.97739","908545265.087681","986287531.805169","1058186578.23935","1120726315.55169","1179062728.72772","1286084000.36346","1249182221.10529","1281936562.40118","1384844082.52149","1503706773.30921","1649973687.94851","1916277837.12391","2149957059.41263","2191116102.83499","1940507461.52742","1814425571.81548","1816047262.12083","1772268901.51917","1720414761.99955","1762220750.32576","1769543691.72853","1882789652.36727","1893259104.10692","2082682421.99313","",
"Australia","AUS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","295778010676.733","307384820984.262","318004709396.511","337773085109.463","358017393657.172","377319206951.193","402061981370.686","424500651324.36","452294979969.252","478153359805.698","504076625618.318","531072356919.526","564353642750.787","591532611248.396","629984591318.752","664362022420.762","709741846655.075","761175325039.229","795980320105.904","874217977125.874","865883084146.728","937507114248.881","973601321979.203","1061628486313.88","1100545339758.17","1102112573342.41","1145437703598.51","1203164227083.2","1275026604983.54","",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149232561323.718","159588972388.223","166643018112.698","171490050297.844","179359424579.268","188005852802.756","195128419193.771","202532855128.362","212777040272.827","220639956878.73","235436116744.555","238980854446.326","251984858807.042","260771892808.661","275748269094.012","288086851811.747","311039320003.298","326756619923.805","343812802543","341721658045.841","351576515990.438","373031463577.163","391635006784.261","406370494341.228","417059741085.658","431091486465.673","459839268477.882","480672624842.608","502771138675.55","",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38372744919.9729","39392724404.0298","31184807121.5874","24549296763.9389","20134034152.9033","18130578048.1699","18702567635.257","20128527279.5322","22390586000.698","24394687744.477","27708367369.1934","31119426600.2032","34595460525.7547","38835124894.3476","43571124846.1434","57490995229.4038","79645398628.4955","102609960818.272","115685123783.592","127488802240.355","135150732839.619","135803575412.212","141623096021.264","152807159379.956","166328743269.245","150658315540.544","155792964688.511","139152809949.428","144556448967.367","",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3345350710.349","3631297001.79245","3751562787.36453","3600803880.17042","3536838974.57823","3325009278.76295","3115019926.48543","3118352164.60185","3303238723.3441","3317086594.0098","3362180905.97122","3506563882.65991","3720415742.30822","3743134142.90915","4029708575.72665","4192628759.54647","4553356026.0148","4837073837.85183","5170900206.31459","5408976901.03296","5752399507.76969","6109378663.94635","6398831549.65388","7077493019.26958","7650627911.62153","8548873679.91879","8359950972.74408","8375481076.5592","8717627926.40796","",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185929456761.029","195740618052.321","203265766756.14","206080365514.085","217273103765.511","227118978742.505","230596250406.231","241542563912.424","248631437863.998","260168701709.78","284933266798.329","296257206516.574","312900377877.018","320612812417.695","333830859759.856","347658412088.972","371463742038.671","390526169837.718","405729462246.522","407954861225.586","434371355469.353","451932718764.387","469720618339.766","487343797679.386","503619406808.679","521017424704.67","550989130573.939","577535293364.163","597433148965.971","",
"Benin","BEN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6270776392.97561","6756790490.74788","7115172193.887","7708842782.60261","8032531108.18463","8696724038.88225","9238920764.61026","9937195430.08318","10447084312.7809","11164002187.0851","12082144945.3385","13005648454.39","13824774838.3426","14566421816.7955","15621198733.8206","16383743019.0359","17545233924.9558","19095081324.3184","20419698276.225","21052570732.3873","21748137021.5206","22860459982.9646","24360768014.9934","26750183429.5374","29160908899.6605","30534656729.9546","32677936871.8537","34023063767.8921","37185967537.1637","",
"Burkina Faso","BFA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4623079795.2979","5212913805.88568","5344118801.51208","5660099184.27911","5856983832.51036","6321622333.86183","7146433357.56915","7728878591.36205","8387030470.5287","9138079334.81426","9512412287.74935","10363952484.97","10986164969.0072","12063296244.7064","12942862116.566","14502039007.7372","15875178584.6882","17223488170.7424","18839312727.1382","19545211465.1459","20835437182.6135","22680248004.564","23909511816.9639","25583205067.7182","26469528906.6533","27348587908.8338","29959432915.9841","34381680209.9908","37625513454.0751","",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87748263787.7999","93877344335.2855","101242611310.562","108524457883.952","115153754825.612","123589335905.126","131544492396.724","139820891613.516","148714640980.518","157907269453.173","169982595270.864","182530845819.154","192525354925.9","205395060516.787","221976201948.575","243850798378.037","267992064315.811","294615714187.251","318408577699.378","337022540291.954","359946740266.512","391220073587.411","443602204611.051","480227221662.933","520357689092.217","555556185205.211","608088837005.48","664403662063.264","734107682467.879","",
"Bulgaria","BGR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65309216632.7903","61815695465.0206","58626493561.5727","59127160889.6836","61487642151.1237","64572473502.9145","56665176230.1267","47340766505.7714","50706611976.9277","47352237997.7247","52120721618.9704","55335343494.4005","60553129254.6569","64871856048.6408","70399897722.9848","78208083827.3208","85980015393.0808","96579784056.4528","107360420095.648","105389796184.852","110529153215.932","115192987613.943","118415506601.673","120390582830.266","126666999560.1","130542431386.34","141181370845.599","149881094499.499","156693062834.114","",
"Bahrain","BHR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13328453864.8932","15326592434.6903","16724586976.8064","19324292479.0426","19687596671.0805","20890356860.0459","22147181821.1789","23225910423.2192","24612366207.2731","26041332109.2996","28034542485.2423","29363102407.7513","30826347961.9725","33375831237.5418","36667060333.4962","40368523291.3689","44279792951.9651","49240475078.3305","53331560946.6085","55103359515.8478","58163007231.3113","60555747563.1868","65410766720.5733","67152031661.6932","68189293559.6183","62119133862.636","63196664701.1447","71199513661.6348","74229735906.9534","",
"Bahamas, The","BHS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5508055374.17191","5456199960.23503","5367053559.00206","5511125636.96308","5806055489.31683","6187362284.6985","6566764869.16275","6817759216.00924","7219672095.44396","7847138500.87046","8355434754.38094","8762904393.12361","9142259670.8161","9194268830.78666","9525154014.28617","10155344043.6629","10725995042.869","11173449417.3471","11126069584.5611","10742805358.3258","11035220068.8072","11334782601.5822","11716456515.9302","11697889681.8343","12068233092.7088","12551711880.9443","12918350156.7508","13479375207.722","14023921973.7223","",
"Bosnia and Herzegovina","BIH","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3752044545.63285","4627508076.39337","8904137108.29723","12172576616.1374","14229875712.1561","15821118520.4352","17064409403.3847","17843060975.5668","19310204735.0858","20215069218.0638","23340398063.602","24398130104.8186","27883302746.9555","30809783133.4958","33896708640.3937","33762865352.3673","34663037497.0023","36525486366.2219","37145713531.7057","39027394551.2862","39811523028.06","41200270025.8114","44261336643.4866","46394223063.4146","49732750023.5372","",
"Belarus","BLR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53309645725.3973","54451100763.3939","50345559503.5141","47621468559.011","42947676407.6477","39288001961.4508","41127585824.709","46606182133.5165","51089722708.3654","53589487605.4211","57965141850.9945","62035672869.4052","66196302880.2988","72174548287.9255","82603919629.5456","93183621901.8347","105603898921.947","117766622639.857","132303186470.157","133578417142.424","145673123597.781","156715098657.899","168030565085.869","180918078577.517","179597925764.719","191181491036.393","192069860052.371","173630155305.786","183460853525.053","",
