"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Aruba","ABW","Population ages 15-64, total","SP.POP.1564.TO","29095","29968","30577","31018","31436","31910","32364","32919","33522","34112","34658","35398","36053","36682","37309","37951","38217","38544","38962","39473","40045","40692","41456","42175","42694","42955","42445","41779","41298","41349","42135","44281","47097","50244","53285","55960","57783","59240","60465","61646","62907","64400","65945","67480","68854","69957","70440","70542","70389","70166","69987","70295","70753","71292","71792","72162","72506","72646","72659",""
"Afghanistan","AFG","Population ages 15-64, total","SP.POP.1564.TO","4953809","5019145","5102009","5197709","5300287","5407208","5489893","5579731","5679516","5794428","5926851","6046787","6182759","6327227","6471717","6610805","6706653","6794292","6858857","6883963","6863310","6728401","6548535","6347728","6154929","5991146","5866975","5793043","5796831","5909250","6139033","6588374","7186257","7849520","8480128","9021451","9343586","9543910","9691966","9874318","10143668","10566999","11096695","11684838","12267510","12804786","13152672","13442714","13718557","14039531","14444994","15041825","15743957","16519810","17322057","18116800","18826642","19514114","20193861",""
"Angola","AGO","Population ages 15-64, total","SP.POP.1564.TO","2992630","2996073","2997144","3000938","3011480","3028008","3030806","3036797","3042534","3050081","3067735","3138591","3226692","3332012","3455202","3593058","3702536","3837650","3987992","4138116","4281383","4420059","4549901","4679000","4821894","4985786","5142057","5319833","5513996","5715715","5920693","6106271","6301419","6506716","6724223","6955652","7177768","7416870","7673080","7946203","8235985","8513768","8811563","9130223","9470298","9831386","10185666","10565380","10966209","11384256","11817707","12233380","12671465","13130630","13610932","14113726","14618994","15149230","15705184",""
"Albania","ALB","Population ages 15-64, total","SP.POP.1564.TO","875725","897410","918872","940393","963492","988506","1013829","1042984","1077706","1115391","1150911","1187450","1225626","1263741","1303733","1346900","1388397","1433559","1479130","1523882","1568997","1613098","1658556","1704089","1749868","1795407","1838303","1882344","1924566","1983932","2028794","2007671","1988243","1970947","1954894","1938980","1939394","1938304","1936185","1934366","1933983","1928440","1936622","1944524","1951941","1957418","1960789","1959058","1955065","1951106","1948797","1961405","1972618","1979460","1981897","1979179","1974734","1972416","1965829",""
"Andorra","AND","Population ages 15-64, total","SP.POP.1564.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arab World","ARB","Population ages 15-64, total","SP.POP.1564.TO","49063244","50032198","51072095","52200457","53449205","54836642","56150911","57648467","59286796","61012247","62801206","64445592","66198513","68084603","70138182","72377572","74728363","77278749","79996143","82844997","85800167","88699832","91716315","94839758","98060192","101372895","104535019","107819945","111208800","114706339","119312116","123118659","125830768","130038788","134367818","139859455","144179223","148582295","153045253","157626344","162367749","167324820","172462507","177798941","183352987","189126322","195183685","201442603","207787887","214068837","220183309","226143306","231927215","237528428","242991668","248365376","253159511","258053167","263047867",""
"United Arab Emirates","ARE","Population ages 15-64, total","SP.POP.1564.TO","48060","53846","61628","70708","80043","88984","97120","104982","114558","128727","149536","184093","226175","274811","328518","385780","453574","525438","595996","660794","718143","764859","804286","838975","873598","912241","963847","1023021","1088944","1160870","1238492","1327259","1422717","1523133","1625995","1729501","1827881","1933590","2043181","2157555","2283607","2479173","2678751","2917522","3248484","3705961","4380867","5185741","6026775","6781159","7366508","7679367","7826615","7855949","7847455","7864456","7921963","8012977","8120005",""
"Argentina","ARG","Population ages 15-64, total","SP.POP.1564.TO","12989134","13193375","13409480","13634237","13862240","14090357","14303592","14519225","14738303","14962375","15191778","15411572","15636980","15864101","16086756","16300134","16473448","16633677","16790165","16958075","17146951","17320676","17539485","17787060","18040288","18288501","18568194","18826361","19080723","19357424","19666305","19942954","20253692","20585700","20917542","21239330","21548137","21854987","22160866","22471310","22789527","23118523","23443110","23767648","24098002","24435888","24749594","25080390","25420356","25755690","26010395","26358138","26687229","27002574","27315081","27630346","27924237","28225466","28530443",""
"Armenia","ARM","Population ages 15-64, total","SP.POP.1564.TO","1030712","1050666","1074350","1101596","1131864","1165230","1201942","1243240","1289091","1338754","1391442","1452693","1513213","1573533","1634960","1697733","1754440","1813191","1871599","1926532","1976723","2020724","2058129","2091318","2124190","2158506","2195723","2233956","2265470","2280902","2275895","2239788","2184263","2118961","2056771","2006378","1980178","1968005","1966291","1968559","1969853","1975649","1978354","1979487","1981817","1986674","1987012","1990073","1994592","1998527","2001045","2004812","2009721","2014458","2018089","2019877","2018925","2015691","2010536",""
"American Samoa","ASM","Population ages 15-64, total","SP.POP.1564.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Antigua and Barbuda","ATG","Population ages 15-64, total","SP.POP.1564.TO","28570","28972","29346","29712","30105","30550","31154","31776","32333","32741","32994","33574","33880","33957","33913","33847","34131","34425","34680","34864","34982","35359","35725","36042","36277","36459","36815","37153","37475","37843","38300","39063","39997","41035","42105","43183","44438","45704","46934","48100","49204","50300","51297","52227","53170","54184","55275","56453","57690","58928","60125","61127","62130","63106","64003","64812","65443","66028","66552",""
"Australia","AUS","Population ages 15-64, total","SP.POP.1564.TO","6290036","6406720","6573431","6721208","6877350","7033299","7217682","7329956","7477608","7653349","7829425","8121603","8296302","8450470","8699412","8847173","8956780","9100112","9258956","9407968","9560902","9768199","9965458","10111379","10249472","10421810","10606571","10798766","11013521","11229098","11408332","11556139","11683359","11777281","11888253","12030999","12187018","12331988","12475819","12632763","12793036","12992714","13175884","13360398","13534758","13728581","13967584","14083094","14382253","14679103","14891504","15042394","15250481","15455787","15623408","15780014","15943398","16121831","16276948",""
"Austria","AUT","Population ages 15-64, total","SP.POP.1564.TO","4624277","4620339","4620995","4622135","4621478","4617168","4613141","4610889","4600469","4589179","4588114","4597102","4623665","4659390","4685096","4696500","4712137","4740523","4768756","4801890","4853035","4916269","4978539","5030428","5082509","5124859","5145618","5160222","5172873","5196530","5232317","5270783","5308289","5328786","5331416","5332719","5337343","5353570","5377782","5405924","5430475","5458858","5487686","5512293","5544123","5581012","5601862","5614453","5627244","5636777","5644039","5658054","5678351","5704617","5740267","5794026","5846595","5877874","5896670",""
"Azerbaijan","AZE","Population ages 15-64, total","SP.POP.1564.TO","2145754","2175605","2205640","2238765","2278927","2328183","2371226","2427804","2494652","2566565","2641453","2725028","2809671","2898622","2996372","3104151","3211910","3327910","3449619","3572216","3692226","3802926","3908787","4009041","4103603","4192283","4261359","4325901","4387343","4446082","4449764","4492422","4538262","4590034","4641596","4693519","4751866","4819284","4897180","4981375","5070809","5171814","5272095","5377560","5498648","5638033","5772684","5918363","6124539","6323530","6452695","6565755","6665639","6749582","6822750","6888625","6930695","6969033","7001123",""
